User_ID,Session_ID,Event,Timestamp,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag,Date,Hour,Day,Month
USR00001,SES00001,Browse,2026-07-26 12:38:42,Tablet,West,Organic,Fashion,0.0,Yes,2026-07-26,12,Sunday,July
USR00001,SES00001,Add to Cart,2026-07-26 12:40:42,Desktop,East,Organic,Home,0.0,Yes,2026-07-26,12,Sunday,July
USR00001,SES00001,Checkout,2026-07-26 12:45:42,Mobile,East,Google Ads,Fashion,0.0,Yes,2026-07-26,12,Sunday,July
USR00001,SES00001,Purchase,2026-07-26 12:50:42,Mobile,East,Google Ads,Sports,904.02,No,2026-07-26,12,Sunday,July
USR00002,SES00002,Browse,2026-07-09 16:30:59,Mobile,West,Email,Sports,0.0,Yes,2026-07-09,16,Thursday,July
USR00002,SES00002,Add to Cart,2026-07-09 16:34:59,Desktop,East,Email,Home,0.0,Yes,2026-07-09,16,Thursday,July
USR00003,SES00003,Browse,2026-07-20 09:07:12,Desktop,North,Social Media,Sports,0.0,Yes,2026-07-20,9,Monday,July
USR00003,SES00003,Add to Cart,2026-07-20 09:09:12,Tablet,North,Email,Home,0.0,Yes,2026-07-20,9,Monday,July
USR00003,SES00003,Checkout,2026-07-20 09:11:12,Tablet,East,Social Media,Sports,0.0,Yes,2026-07-20,9,Monday,July
USR00004,SES00004,Browse,2026-07-10 15:23:18,Mobile,North,Social Media,Fashion,0.0,Yes,2026-07-10,15,Friday,July
USR00004,SES00004,Add to Cart,2026-07-10 15:28:18,Tablet,South,Organic,Home,0.0,Yes,2026-07-10,15,Friday,July
USR00004,SES00004,Checkout,2026-07-10 15:33:18,Mobile,North,Social Media,Home,0.0,Yes,2026-07-10,15,Friday,July
USR00004,SES00004,Purchase,2026-07-10 15:38:18,Mobile,South,Social Media,Electronics,200.97,No,2026-07-10,15,Friday,July
USR00005,SES00005,Browse,2026-07-31 22:36:14,Desktop,East,Google Ads,Sports,0.0,Yes,2026-07-31,22,Friday,July
USR00006,SES00006,Browse,2026-08-01 03:36:54,Desktop,West,Google Ads,Home,0.0,Yes,2026-08-01,3,Saturday,August
USR00006,SES00006,Add to Cart,2026-08-01 03:38:54,Mobile,West,Google Ads,Home,0.0,Yes,2026-08-01,3,Saturday,August
USR00006,SES00006,Checkout,2026-08-01 03:41:54,Mobile,South,Google Ads,Fashion,0.0,Yes,2026-08-01,3,Saturday,August
USR00007,SES00007,Browse,2026-07-20 17:38:34,Tablet,West,Social Media,Sports,0.0,Yes,2026-07-20,17,Monday,July
