User_ID,Session_ID,Event,Timestamp,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag,Date,Hour,Day,Month
USR00001,SES00001,Browse,2026-07-11 11:26:51,Mobile,East,Google Ads,Fashion,0.0,Yes,2026-07-11,11,Saturday,July
USR00002,SES00002,Browse,2026-08-05 23:40:33,Desktop,North,Social Media,Sports,0.0,Yes,2026-08-05,23,Wednesday,August
USR00003,SES00003,Browse,2026-08-04 13:41:46,Desktop,East,Organic,Fashion,0.0,Yes,2026-08-04,13,Tuesday,August
USR00003,SES00003,Add to Cart,2026-08-04 13:45:46,Mobile,West,Social Media,Beauty,0.0,Yes,2026-08-04,13,Tuesday,August
USR00003,SES00003,Checkout,2026-08-04 13:47:46,Desktop,South,Social Media,Sports,0.0,Yes,2026-08-04,13,Tuesday,August
USR00003,SES00003,Purchase,2026-08-04 13:51:46,Desktop,South,Social Media,Home,297.21,No,2026-08-04,13,Tuesday,August
USR00004,SES00004,Browse,2026-07-21 23:03:46,Tablet,North,Organic,Fashion,0.0,Yes,2026-07-21,23,Tuesday,July
USR00004,SES00004,Add to Cart,2026-07-21 23:05:46,Mobile,North,Organic,Electronics,0.0,Yes,2026-07-21,23,Tuesday,July
USR00005,SES00005,Browse,2026-07-15 01:11:40,Tablet,North,Email,Electronics,0.0,Yes,2026-07-15,1,Wednesday,July
USR00005,SES00005,Add to Cart,2026-07-15 01:15:40,Mobile,West,Organic,Beauty,0.0,Yes,2026-07-15,1,Wednesday,July
USR00005,SES00005,Checkout,2026-07-15 01:20:40,Mobile,North,Organic,Beauty,0.0,Yes,2026-07-15,1,Wednesday,July
USR00006,SES00006,Browse,2026-07-20 04:39:06,Mobile,West,Email,Home,0.0,Yes,2026-07-20,4,Monday,July
USR00007,SES00007,Browse,2026-07-13 10:20:25,Mobile,South,Organic,Sports,0.0,Yes,2026-07-13,10,Monday,July
USR00007,SES00007,Add to Cart,2026-07-13 10:23:25,Mobile,North,Google Ads,Electronics,0.0,Yes,2026-07-13,10,Monday,July
USR00008,SES00008,Browse,2026-07-08 14:50:30,Mobile,West,Organic,Fashion,0.0,Yes,2026-07-08,14,Wednesday,July
USR00008,SES00008,Add to Cart,2026-07-08 14:54:30,Mobile,South,Google Ads,Sports,0.0,Yes,2026-07-08,14,Wednesday,July
